sim_times,ecc_algorithm,file_name,bytes_per_oligo,address_size,ecc_param,miss_extension_prob,deletion_prob,over_extension_prob,molcule_num,reaction_cycle,base_num
192,h,1k_data,16,4,1,0.0,0.01,0.1,50,5,3
192,h,1k_data,16,4,1,0.0,0.01,0.1,50,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,1,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,2,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,5,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,10,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,20,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.0,50,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,1,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,2,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,5,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,10,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,20,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.01,50,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,1,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,2,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,5,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,10,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,20,5,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,1,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,1,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,2,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,2,4
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,5,3
192,h,1k_data,16,4,1,0.0,0.1,0.1,50,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,1,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,2,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,5,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,10,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,20,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.0,50,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,1,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,2,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,5,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,10,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,20,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.01,50,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,1,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,2,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,5,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,10,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,20,5,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,1,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,1,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,2,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,2,4
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,5,3
192,h,1k_data,16,4,1,0.0001,0.0,0.1,50,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,1,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,2,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,5,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,10,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,20,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.0,50,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,1,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,2,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,5,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,10,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,20,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.01,50,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,1,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,2,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,5,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,10,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,20,5,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,1,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,1,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,2,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,2,4
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,5,3
192,h,1k_data,16,4,1,0.0001,0.01,0.1,50,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,1,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,2,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,5,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,10,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,20,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.0,50,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,1,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,2,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,5,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,10,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,20,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.01,50,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,1,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,1,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,2,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,2,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,5,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,2,5,4
192,h,1k_data,16,4,1,0.0001,0.1,0.1,5,1,3
192,h,1k_data,16,4,1,0.0001,0.1,0.1,5,1,4
